underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
47798.27,index_price,1613068632311,381.6,0.0001,0.3795,0.17973903,179.27,0.1803,0.0,BTC-26FEB21-44000-C,47798.27,5291722044,"[[0.016, 15.4]]",0.0,0.016,15.4,0.31,3.0,"[[0.31, 3.0], [0.55, 5.0], [1.0, 2.0]]",358.53,37.5,-41.6694,0.1803,0.3091,35.00811,-215.55211,9.14021,2e-05,0.6592,month,0.16
49919.1,BTC-25JUN21,1613068632317,0.0,0.1745,0.574,0.37429335,100.0,,0.0,BTC-25JUN21-60000-P,47798.27,5292057256,"[[0.137, 0.1]]",0.0,0.137,0.1,0.0,0.0,[],0.0,,,,,120.46591,-45.09885,-159.81254,1e-05,-0.50065,month,0.41
47806.62,index_price,1613068633325,3.8,0.0001,0.2105,0.01094008,52.16,0.044,0.0,BTC-26FEB21-52500-C,47806.62,5292056569,[],0.0,0.0,0.0,0.0465,0.4,"[[0.0465, 0.4]]",104.24,,,,,26.6088,-47.66774,3.57573,6e-05,0.19851,month,0.04
48884.92,SYN.BTC-5MAR21,1613068633325,0.0,0.0001,0.2865,0.08681472,100.0,,0.0,BTC-5MAR21-50000-C,47806.62,5292033040,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,47.37619,-109.88261,12.25978,3e-05,0.51145,week,
48884.92,SYN.BTC-5MAR21,1613068633321,0.0,0.3345,0.734,0.53435036,58.99,,0.0,BTC-5MAR21-75000-P,47806.62,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,0.6793,-0.92944,-44.24704,0.0,-0.99821,week,
45682.34,SYN.BTC-13FEB21,1613068633327,0.0,0.0001,0.2,3.163e-05,87.74,,0.0,BTC-13FEB21-54000-C,47806.62,5292294635,[],0.0,0.0,0.0,0.004,0.5,"[[0.004, 0.5], [0.0085, 3.0]]",175.46,,,,,0.1831,-1.4449,0.0037,0.0,0.00193,day,
48198.49,BTC-19FEB21,1613068633318,0.0,0.0001,0.3425,0.14274299,54.31,,0.0,BTC-19FEB21-55000-P,47806.62,5292406650,[],0.0,0.0,0.0,0.256,3.0,"[[0.256, 3.0]]",289.77,,,,,7.09368,-25.49025,-10.91005,3e-05,-0.95052,week,0.25
45262.98,BTC-12FEB21,1613068633318,229.9,0.0001,0.316,0.11627046,107.77,0.147,0.0,BTC-12FEB21-40000-C,47806.62,5292406130,"[[0.04, 66.0]]",0.0,0.04,66.0,0.1305,3.0,"[[0.1305, 3.0]]",364.28,0.1,0.0,0.147,0.147,0.08949,-4.82203,0.61002,0.0,0.99844,week,0.11
47811.26,index_price,1613068634326,70.5,0.0001,0.205,0.00515983,250.0,0.0005,0.0,BTC-26FEB21-20000-P,47811.26,5291535216,[],0.0,0.0,0.0,0.0,0.0,[],0.0,1.0,0.0,0.0005,0.0005,5.20463,-44.68984,-0.5371,0.0,-0.02301,month,0.01
45690.69,SYN.BTC-13FEB21,1613068634329,1.5,0.0001,0.2015,0.00163241,124.48,0.0015,0.0,BTC-13FEB21-40000-P,47811.26,5292294644,[],0.0,0.0,0.0,0.002,1.0,"[[0.002, 1.0], [0.011, 3.0]]",130.04,1.5,50.0,0.001,0.0015,2.92115,-74.58591,-0.09447,3e-05,-0.04683,day,
48212.65,BTC-19FEB21,1613068634333,80.5,0.0001,0.2215,0.0216786,138.75,0.0085,0.0,BTC-19FEB21-41000-P,47811.26,5292403427,"[[0.008, 0.5]]",97.72,0.008,0.5,0.0385,3.0,"[[0.0385, 3.0]]",180.1,9.5,-46.875,0.0085,0.016,18.26935,-167.70785,-2.023,3e-05,-0.18103,week,0.01
